Task,Supervisor,Description,Start Date,Due Date,Status,Notes
Select Topic,Dr.Babak Jamshidi,Finalize research topic and title,,,Done,Has to be approved by supervisor
Write Proposal,Dr.Babak Jamshidi,Write and submit dissertation proposal,,,Done,Uploaded as PROPOSAL.docx
Collect Dataset,Dr.Babak Jamshidi,Download roulette_predictions.csv and clean it,,,Done,Added to GitHub
Prepare Presentation,Dr.Babak Jamshidi,preparing the  slides for RL strategy findings,,,Done,Roulette_RL_Presentation.pptx
Ethics submission,Dr.Babak Jamshidi,submitting the Ethichs,,,Not started,
Preprocess Data,Dr.Babak Jamshidi,Handle missing values and feature engineering,,,In Progress,Scaling and encoding pending
EDA,Dr.Babak Jamshidi,Generate plots and statistics for insights,,,Not Started,
Train PPO Model,Dr.Babak Jamshidi,Use PPO on roulette dataset to train RL agent,,,Not Started,
Evaluate Model,Dr.Babak Jamshidi,"Plot rewards, bankroll curve, and accuracy",,,Not Started,
Write Dissertation,Dr.Babak Jamshidi,Prepare full dissertation report,,,Not Started,
Final Submission,Dr.Babak Jamshidi,Submit all documents and presentation,,,Not Started,
